mode	position	offset_bytes	role	avg_cycles	probes
load	0	0	accessed	32	16
load	1	64	prefetched	33	16
load	2	128	prefetched	33	16
load	3	192	cache_miss	332	16
load	4	256	prefetched	32	16
load	5	320	accessed	32	16
load	6	384	prefetched	33	16
load	7	448	prefetched	47	16
load	8	512	cache_miss	266	16
load	9	576	cache_miss	247	16
load	10	640	accessed	32	16
load	11	704	prefetched	63	16
load	12	768	prefetched	75	16
load	13	832	cache_miss	486	16
load	14	896	prefetched	47	16
load	15	960	accessed	32	16
load	16	1024	prefetched	32	16
load	17	1088	prefetched	32	16
load	18	1152	cache_miss	222	16
load	19	1216	cache_miss	309	16
load	20	1280	accessed	32	16
load	21	1344	prefetched	48	16
load	22	1408	prefetched	72	16
load	23	1472	cache_miss	261	16
load	24	1536	prefetched	29	16
load	25	1600	accessed	28	16
load	26	1664	prefetched	56	16
load	27	1728	prefetched	70	16
load	28	1792	cache_miss	301	16
load	29	1856	cache_miss	307	16
load	30	1920	accessed	29	16
load	31	1984	prefetched	29	16
load	32	2048	prefetched	41	16
load	33	2112	cache_miss	283	16
load	34	2176	prefetched	29	16
load	35	2240	accessed	29	16
load	36	2304	prefetched	44	16
load	37	2368	prefetched	29	16
load	38	2432	cache_miss	258	16
load	39	2496	cache_miss	260	16
load	40	2560	accessed	29	16
load	41	2624	prefetched	43	16
load	42	2688	prefetched	43	16
load	43	2752	cache_miss	247	16
load	44	2816	prefetched	29	16
load	45	2880	accessed	28	16
load	46	2944	prefetched	29	16
load	47	3008	prefetched	28	16
load	48	3072	cache_miss	325	16
load	49	3136	cache_miss	405	16
load	50	3200	accessed	29	16
load	51	3264	prefetched	28	16
load	52	3328	prefetched	29	16
load	53	3392	cache_miss	255	16
load	54	3456	prefetched	29	16
load	55	3520	accessed	28	16
load	56	3584	prefetched	29	16
load	57	3648	prefetched	28	16
load	58	3712	cache_miss	236	16
load	59	3776	cache_miss	237	16
load	60	3840	accessed	28	16
load	61	3904	prefetched	29	16
load	62	3968	prefetched	28	16
load	63	4032	cache_miss	352	16
load	64	4096	prefetched	70	16
load	65	4160	accessed	28	16
load	66	4224	cache_miss	289	16
load	67	4288	cache_miss	246	16
load	68	4352	cache_miss	256	16
load	69	4416	cache_miss	254	16
load	70	4480	accessed	28	16
load	71	4544	prefetched	43	16
load	72	4608	cache_miss	220	16
load	73	4672	cache_miss	230	16
load	74	4736	prefetched	41	16
