# store-stride interleaved entry-capacity test
# access pattern: for step in train_accesses, for page in active_pages, store page+step*stride
# store_pc=0x0000000500000120 stream_buffer=0x0000000600000000 page_size=4096
# stride_lines=5 stride_bytes=320 train_accesses=5 predicted_line=25
# max_pages=128 rounds=1000 page_step=1
# lower avg_latency_ns means more predicted lines were prefetched
# n_pages	avg_latency_ns	probes
1	189	1000
2	74	2000
3	78	3000
4	74	4000
5	77	5000
6	78	6000
7	81	7000
8	83	8000
9	82	9000
10	77	10000
11	76	11000
12	78	12000
13	200	13000
14	200	14000
15	199	15000
16	201	16000
17	201	17000
18	200	18000
19	204	19000
20	203	20000
21	205	21000
22	204	22000
23	203	23000
24	204	24000
25	204	25000
26	206	26000
27	210	27000
28	200	28000
29	200	29000
30	201	30000
31	200	31000
32	199	32000
33	199	33000
34	200	34000
35	200	35000
36	201	36000
37	201	37000
38	201	38000
39	200	39000
40	200	40000
41	200	41000
42	200	42000
43	200	43000
44	200	44000
45	200	45000
46	200	46000
47	199	47000
48	200	48000
49	199	49000
50	200	50000
51	200	51000
52	199	52000
53	200	53000
54	199	54000
55	200	55000
56	200	56000
57	199	57000
58	200	58000
59	200	59000
60	200	60000
61	200	61000
62	200	62000
63	200	63000
64	200	64000
65	200	65000
66	200	66000
67	200	67000
68	201	68000
69	200	69000
70	200	70000
71	200	71000
72	199	72000
73	199	73000
74	201	74000
75	200	75000
76	200	76000
77	200	77000
78	199	78000
79	200	79000
80	201	80000
81	200	81000
82	200	82000
83	200	83000
84	200	84000
85	200	85000
86	200	86000
87	200	87000
88	199	88000
89	199	89000
90	199	90000
91	199	91000
92	200	92000
93	200	93000
94	200	94000
95	199	95000
96	200	96000
97	199	97000
98	200	98000
99	199	99000
100	201	100000
101	200	101000
102	199	102000
103	199	103000
104	200	104000
105	199	105000
106	200	106000
107	200	107000
108	200	108000
109	200	109000
110	200	110000
111	200	111000
112	201	112000
113	200	113000
114	200	114000
115	200	115000
116	199	116000
117	200	117000
118	199	118000
119	200	119000
120	200	120000
121	200	121000
122	200	122000
123	200	123000
124	200	124000
125	199	125000
126	200	126000
127	201	127000
128	199	128000
