# store-stride interleaved entry-capacity test
# access pattern: for step in train_accesses, for page in active_pages, store page+step*stride
# store_pc=0x0000000500000120 stream_buffer=0x0000000600000000 page_size=4096
# stride_lines=5 stride_bytes=320 train_accesses=3 predicted_line=15
# max_pages=128 rounds=1000 page_step=1
# lower avg_latency_ns means more predicted lines were prefetched
# n_pages	avg_latency_ns	probes
1	202	1000
2	187	2000
3	183	3000
4	180	4000
5	177	5000
6	175	6000
7	165	7000
8	178	8000
9	181	9000
10	194	10000
11	200	11000
12	199	12000
13	199	13000
14	201	14000
15	199	15000
16	200	16000
17	201	17000
18	199	18000
19	200	19000
20	201	20000
21	200	21000
22	200	22000
23	201	23000
24	201	24000
25	200	25000
26	199	26000
27	201	27000
28	200	28000
29	200	29000
30	200	30000
31	200	31000
32	202	32000
33	201	33000
34	202	34000
35	200	35000
36	199	36000
37	199	37000
38	200	38000
39	201	39000
40	200	40000
41	202	41000
42	200	42000
43	200	43000
44	200	44000
45	201	45000
46	201	46000
47	200	47000
48	201	48000
49	201	49000
50	201	50000
51	201	51000
52	200	52000
53	200	53000
54	201	54000
55	200	55000
56	200	56000
57	200	57000
58	201	58000
59	201	59000
60	200	60000
61	201	61000
62	200	62000
63	200	63000
64	200	64000
65	200	65000
66	200	66000
67	200	67000
68	200	68000
69	200	69000
70	200	70000
71	200	71000
72	200	72000
73	200	73000
74	201	74000
75	200	75000
76	201	76000
77	200	77000
78	200	78000
79	200	79000
80	200	80000
81	200	81000
82	200	82000
83	200	83000
84	200	84000
85	200	85000
86	200	86000
87	200	87000
88	200	88000
89	201	89000
90	200	90000
91	200	91000
92	200	92000
93	200	93000
94	200	94000
95	200	95000
96	200	96000
97	201	97000
98	200	98000
99	200	99000
100	200	100000
101	200	101000
102	200	102000
103	200	103000
104	200	104000
105	200	105000
106	200	106000
107	200	107000
108	200	108000
109	201	109000
110	200	110000
111	200	111000
112	200	112000
113	201	113000
114	200	114000
115	200	115000
116	201	116000
117	200	117000
118	201	118000
119	200	119000
120	200	120000
121	200	121000
122	201	122000
123	201	123000
124	201	124000
125	200	125000
126	200	126000
127	200	127000
128	200	128000
