# store-stride interleaved entry-capacity test
# access pattern: for step in train_accesses, for page in active_pages, store page+step*stride
# store_pc=0x0000000500000120 stream_buffer=0x0000000600000000 page_size=4096
# stride_lines=5 stride_bytes=320 train_accesses=5 predicted_line=25
# max_pages=1024 rounds=1000 page_step=1
# lower avg_latency_ns means more predicted lines were prefetched
# n_pages	avg_latency_ns	probes
1	153	1000
2	199	2000
3	201	3000
4	202	4000
5	204	5000
6	199	6000
7	199	7000
8	200	8000
9	199	9000
10	198	10000
11	200	11000
12	201	12000
13	198	13000
14	200	14000
15	200	15000
16	201	16000
17	197	17000
18	200	18000
19	201	19000
20	200	20000
21	199	21000
22	201	22000
23	200	23000
24	201	24000
25	202	25000
26	200	26000
27	199	27000
28	200	28000
29	200	29000
30	200	30000
31	203	31000
32	200	32000
33	198	33000
34	201	34000
35	201	35000
36	200	36000
37	199	37000
38	200	38000
39	200	39000
40	200	40000
41	200	41000
42	199	42000
43	200	43000
44	200	44000
45	202	45000
46	200	46000
47	200	47000
48	200	48000
49	201	49000
50	201	50000
51	200	51000
52	201	52000
53	200	53000
54	200	54000
55	200	55000
56	200	56000
57	201	57000
58	200	58000
59	201	59000
60	200	60000
61	200	61000
62	200	62000
63	200	63000
64	200	64000
65	199	65000
66	200	66000
67	201	67000
68	199	68000
69	199	69000
70	199	70000
71	199	71000
72	200	72000
73	201	73000
74	200	74000
75	200	75000
76	200	76000
77	200	77000
78	200	78000
79	200	79000
80	199	80000
81	198	81000
82	199	82000
83	200	83000
84	200	84000
85	200	85000
86	199	86000
87	200	87000
88	199	88000
89	200	89000
90	200	90000
91	200	91000
92	200	92000
93	200	93000
94	200	94000
95	200	95000
96	200	96000
97	200	97000
98	199	98000
99	199	99000
100	200	100000
101	200	101000
102	200	102000
103	200	103000
104	200	104000
105	200	105000
106	199	106000
107	200	107000
108	200	108000
109	200	109000
110	200	110000
111	200	111000
112	200	112000
113	199	113000
114	199	114000
115	199	115000
116	201	116000
117	199	117000
118	200	118000
119	200	119000
120	200	120000
121	200	121000
122	200	122000
123	200	123000
124	200	124000
125	200	125000
126	200	126000
127	200	127000
128	200	128000
129	199	129000
130	200	130000
131	200	131000
132	200	132000
133	200	133000
134	199	134000
135	199	135000
136	200	136000
137	201	137000
138	200	138000
139	200	139000
140	200	140000
141	200	141000
142	200	142000
143	199	143000
144	200	144000
145	200	145000
146	200	146000
147	199	147000
148	200	148000
149	200	149000
150	200	150000
151	200	151000
152	200	152000
153	199	153000
154	200	154000
155	200	155000
156	201	156000
157	200	157000
158	200	158000
159	200	159000
160	200	160000
161	199	161000
162	200	162000
163	201	163000
164	200	164000
165	201	165000
166	200	166000
167	200	167000
168	200	168000
169	200	169000
170	200	170000
171	200	171000
172	200	172000
173	201	173000
174	200	174000
175	200	175000
176	200	176000
177	200	177000
178	199	178000
179	200	179000
180	200	180000
181	200	181000
182	200	182000
183	200	183000
184	200	184000
185	200	185000
186	200	186000
187	200	187000
188	200	188000
189	201	189000
190	200	190000
191	200	191000
192	199	192000
193	200	193000
194	200	194000
195	200	195000
196	199	196000
197	200	197000
198	200	198000
199	200	199000
200	200	200000
201	200	201000
202	200	202000
203	200	203000
204	200	204000
205	200	205000
206	200	206000
207	200	207000
208	200	208000
209	200	209000
210	200	210000
211	200	211000
212	200	212000
213	200	213000
214	200	214000
215	200	215000
216	200	216000
217	200	217000
218	200	218000
219	200	219000
220	200	220000
221	200	221000
222	200	222000
223	200	223000
224	200	224000
225	199	225000
226	200	226000
227	200	227000
228	200	228000
229	199	229000
230	200	230000
231	200	231000
232	200	232000
233	199	233000
234	200	234000
235	200	235000
236	200	236000
237	200	237000
238	200	238000
239	200	239000
240	200	240000
241	200	241000
242	200	242000
243	200	243000
244	200	244000
245	200	245000
246	200	246000
247	200	247000
248	200	248000
249	200	249000
250	200	250000
251	200	251000
252	200	252000
253	200	253000
254	200	254000
255	200	255000
256	200	256000
257	200	257000
258	200	258000
259	200	259000
260	200	260000
261	200	261000
262	200	262000
263	200	263000
264	200	264000
265	200	265000
266	200	266000
267	200	267000
268	200	268000
269	200	269000
270	200	270000
271	200	271000
272	200	272000
273	200	273000
274	201	274000
275	200	275000
276	200	276000
277	200	277000
278	201	278000
279	200	279000
280	200	280000
281	200	281000
282	200	282000
283	200	283000
284	200	284000
285	200	285000
286	200	286000
287	200	287000
288	200	288000
289	200	289000
290	200	290000
291	200	291000
292	200	292000
293	200	293000
294	200	294000
295	200	295000
296	200	296000
297	200	297000
298	199	298000
299	200	299000
300	200	300000
301	200	301000
302	200	302000
303	201	303000
304	200	304000
305	200	305000
306	200	306000
307	200	307000
308	200	308000
309	200	309000
310	200	310000
311	200	311000
312	200	312000
313	200	313000
314	200	314000
315	200	315000
316	200	316000
317	200	317000
318	200	318000
319	200	319000
320	200	320000
321	200	321000
322	200	322000
323	200	323000
324	200	324000
325	200	325000
326	200	326000
327	200	327000
328	200	328000
329	200	329000
330	199	330000
331	200	331000
332	200	332000
333	200	333000
334	200	334000
335	201	335000
336	200	336000
337	200	337000
338	200	338000
339	199	339000
340	200	340000
341	199	341000
342	200	342000
343	200	343000
344	200	344000
345	200	345000
346	200	346000
347	200	347000
348	200	348000
349	200	349000
350	200	350000
351	200	351000
352	200	352000
353	199	353000
354	200	354000
355	200	355000
356	200	356000
357	200	357000
358	200	358000
359	200	359000
360	200	360000
361	201	361000
362	200	362000
363	200	363000
364	200	364000
365	200	365000
366	200	366000
367	200	367000
368	200	368000
369	200	369000
370	200	370000
371	200	371000
372	200	372000
373	200	373000
374	200	374000
375	200	375000
376	200	376000
377	200	377000
378	200	378000
379	200	379000
380	200	380000
381	200	381000
382	200	382000
383	200	383000
384	200	384000
385	200	385000
386	200	386000
387	200	387000
388	200	388000
389	200	389000
390	200	390000
391	200	391000
392	200	392000
393	200	393000
394	200	394000
395	200	395000
396	200	396000
397	200	397000
398	200	398000
399	200	399000
400	200	400000
401	200	401000
402	200	402000
403	200	403000
404	200	404000
405	200	405000
406	200	406000
407	200	407000
408	200	408000
409	200	409000
410	200	410000
411	200	411000
412	200	412000
413	200	413000
414	200	414000
415	200	415000
416	200	416000
417	200	417000
418	200	418000
419	200	419000
420	200	420000
421	200	421000
422	200	422000
423	200	423000
424	200	424000
425	200	425000
426	200	426000
427	200	427000
428	200	428000
429	200	429000
430	200	430000
431	200	431000
432	200	432000
433	200	433000
434	200	434000
435	200	435000
436	200	436000
437	200	437000
