# store-stride entry-capacity test
# access mode: store (strb), same fixed PC for victim train and trigger
# stride=320 rounds=1000 page_size=4096 access_pc=0x0000000500000120 victim_buffer=0x0000000600000000
# STRIDE_LINES=5 TRAIN_ACCESSES=1 TRIGGER_ACCESSES=1 COMPETITOR_ACCESSES=1 PROBE_LINES=64 max_competitors=64 page_step_pages=1
# victim accesses=2 train_only_accesses=1 trigger_accesses=1 stride_lines=5
# victim trigger lines: 5..5
# victim probe/predicted line: 10
# competitor accesses per page: 1 stores, stride_lines=5
# lower latency means that victim line was more likely prefetched
# no_trigger_n0_latency_ns=141
n	probe_line	offset_bytes	role	avg_ns	probes
0	10	640	predicted	144	1000
1	10	640	predicted	140	1000
2	10	640	predicted	143	1000
3	10	640	predicted	143	1000
4	10	640	predicted	144	1000
5	10	640	predicted	144	1000
6	10	640	predicted	144	1000
7	10	640	predicted	144	1000
8	10	640	predicted	145	1000
9	10	640	predicted	143	1000
10	10	640	predicted	143	1000
11	10	640	predicted	139	1000
12	10	640	predicted	143	1000
13	10	640	predicted	143	1000
14	10	640	predicted	145	1000
15	10	640	predicted	143	1000
16	10	640	predicted	140	1000
17	10	640	predicted	144	1000
18	10	640	predicted	144	1000
19	10	640	predicted	144	1000
20	10	640	predicted	145	1000
21	10	640	predicted	142	1000
22	10	640	predicted	145	1000
23	10	640	predicted	143	1000
24	10	640	predicted	142	1000
25	10	640	predicted	146	1000
26	10	640	predicted	144	1000
27	10	640	predicted	144	1000
28	10	640	predicted	144	1000
29	10	640	predicted	145	1000
30	10	640	predicted	142	1000
31	10	640	predicted	143	1000
32	10	640	predicted	143	1000
33	10	640	predicted	141	1000
34	10	640	predicted	145	1000
35	10	640	predicted	142	1000
36	10	640	predicted	145	1000
37	10	640	predicted	142	1000
38	10	640	predicted	142	1000
39	10	640	predicted	145	1000
40	10	640	predicted	145	1000
41	10	640	predicted	144	1000
42	10	640	predicted	145	1000
43	10	640	predicted	140	1000
44	10	640	predicted	139	1000
45	10	640	predicted	142	1000
46	10	640	predicted	145	1000
47	10	640	predicted	145	1000
48	10	640	predicted	146	1000
49	10	640	predicted	144	1000
50	10	640	predicted	144	1000
51	10	640	predicted	144	1000
52	10	640	predicted	145	1000
53	10	640	predicted	144	1000
54	10	640	predicted	142	1000
55	10	640	predicted	143	1000
56	10	640	predicted	144	1000
57	10	640	predicted	140	1000
58	10	640	predicted	142	1000
59	10	640	predicted	144	1000
60	10	640	predicted	145	1000
61	10	640	predicted	143	1000
62	10	640	predicted	143	1000
63	10	640	predicted	144	1000
64	10	640	predicted	143	1000
